Dur,Sport,Dport,sTos,dTos,TotPkts,SrcPkts,TotBytes,SrcBytes,Load,SrcLoad,SIntPkt,DIntPkt,Label,Proto_arp,Proto_rtcp,Proto_tcp,Proto_udp,State_CON,State_FIN,State_INT,State_REQ,State_RSP,State_RST
9.038445,58114.0,7410.0,0.0,21.36710210610504,19,19,2050,2050,1719.764771,1719.764771,503.019406,1092.382483608376,normal,0,0,0,1,0,0,0,1,0,0
0.0,52246.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,powerghost,0,0,1,0,0,0,0,1,0,0
0.0,63784.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
0.0,60809.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
0.0,53566.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,powerghost,0,0,1,0,0,0,0,1,0,0
1.010243,49217.0,445.0,0.0,0.0,6,3,356,194,1884.694946,1029.526611,505.0865,505.054,petya,0,0,1,0,0,0,0,0,0,1
0.202979,49198.0,445.0,0.0,0.0,3,2,388,206,4059.533203,4059.533203,202.979,1092.382483608376,petya,0,0,1,0,1,0,0,0,0,0
1.74103,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,551.397766,551.397766,870.515,1092.382483608376,petya,1,0,0,0,0,0,1,0,0,0
1.750573,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,548.391846,548.391846,875.2865,1092.382483608376,petya,1,0,0,0,0,0,1,0,0,0
1.632464,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,588.068054,588.068054,816.232,1092.382483608376,petya,1,0,0,0,0,0,1,0,0,0
9.883555,61487.0,11160.0,0.0,21.36710210610504,20,20,2160,2160,1660.940796,1660.940796,507.057563,1092.382483608376,normal,0,0,0,1,0,0,0,1,0,0
0.004288,50403.0,445.0,0.0,0.0,12,6,1313,668,2042910.375,2556511.75,0.3486,0.8066,petya,0,0,1,0,0,0,0,0,0,1
9.226973,49728.0,11160.0,0.0,21.36710210610504,20,20,2160,2160,1779.131714,1779.131714,503.08875,1092.382483608376,normal,0,0,0,1,0,0,0,1,0,0
1.751625,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,548.062561,548.062561,875.8125,1092.382483608376,petya,1,0,0,0,0,0,1,0,0,0
0.0,58407.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
0.0,51770.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
0.0,52344.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
0.0,61800.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
1.625715,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,590.509399,590.509399,812.8575,1092.382483608376,petya,1,0,0,0,0,0,1,0,0,0
1.002607,49600.0,445.0,0.0,0.0,6,3,356,194,1899.049194,1037.512085,501.199,501.235,badrabbit,0,0,1,0,0,0,0,0,0,1
1.559308,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,615.657715,615.657715,779.654,1092.382483608376,petya,1,0,0,0,0,0,1,0,0,0
0.0,61838.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,powerghost,0,0,1,0,0,0,0,1,0,0
1.6365,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,586.617798,586.617798,818.25,1092.382483608376,badrabbit,1,0,0,0,0,0,1,0,0,0
0.001166,49837.0,445.0,0.0,0.0,6,3,372,186,1701543.75,1826887.625,0.2715,0.39,petya,0,0,1,0,0,0,0,0,0,1
9.39013,62262.0,7410.0,0.0,21.36710210610504,20,20,2160,2160,1748.218628,1748.218628,501.020438,1092.382483608376,normal,0,0,0,1,0,0,0,1,0,0
0.0,60658.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
9.531278,62262.0,7411.0,0.0,21.36710210610504,48,48,16060,16060,13199.48926,13199.48926,208.50425,1092.382483608376,normal,0,0,0,1,0,0,0,1,0,0
0.0,49209.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
1.71858,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,558.600708,558.600708,859.29,1092.382483608376,badrabbit,1,0,0,0,0,0,1,0,0,0
0.202889,49217.0,445.0,0.0,0.0,3,2,388,206,4061.334229,4061.334229,202.889,1092.382483608376,petya,0,0,1,0,1,0,0,0,0,0
0.0,59911.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
0.014807,49254.0,445.0,0.0,0.0,14,8,2699,1435,1248058.375,678597.9375,2.115286,2.871,petya,0,0,1,0,0,0,0,0,0,1
0.00145,49549.0,445.0,0.0,0.0,5,3,564,312,1842758.625,1147586.25,4572.114,6962.3905,badrabbit,0,0,1,0,0,0,0,0,0,1
1.643495,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,584.121033,584.121033,821.7475,1092.382483608376,badrabbit,1,0,0,0,0,0,1,0,0,0
0.0,49862.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
0.0,54218.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,powerghost,0,0,1,0,0,0,0,1,0,0
0.0,61766.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,powerghost,0,0,1,0,0,0,0,1,0,0
0.0,57894.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,powerghost,0,0,1,0,0,0,0,1,0,0
9.726124,61114.0,7410.0,0.0,21.36710210610504,20,20,2160,2160,1687.825562,1687.825562,528.870875,1092.382483608376,normal,0,0,0,1,0,0,0,1,0,0
9.187854,39562.0,7410.0,0.0,21.36710210610504,19,19,2054,2054,1694.410889,1694.410889,502.366219,1092.382483608376,normal,0,0,0,1,0,0,0,1,0,0
0.0,64426.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
9.986808,56552.0,7413.0,0.0,21.36710210610504,6,6,1092,1092,728.96167,728.96167,1999.716375,1092.382483608376,normal,0,0,0,1,0,0,0,1,0,0
1.627621,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,589.817871,589.817871,813.8105,1092.382483608376,petya,1,0,0,0,0,0,1,0,0,0
0.0,53346.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,powerghost,0,0,1,0,0,0,0,1,0,0
1.595547,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,601.674561,601.674561,797.7735,1092.382483608376,badrabbit,1,0,0,0,0,0,1,0,0,0
0.0,58495.0,445.0,0.0,21.36710210610504,1,1,66,66,0.0,0.0,863.4580657838509,1092.382483608376,wannacry,0,0,1,0,0,0,0,1,0,0
1.746868,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,549.554993,549.554993,873.434,1092.382483608376,badrabbit,1,0,0,0,0,0,1,0,0,0
1.607363,55679.49116581868,3646.500618270504,0.0,21.36710210610504,3,3,180,180,597.251526,597.251526,803.6815,1092.382483608376,badrabbit,1,0,0,0,0,0,1,0,0,0
0.016572,49394.0,445.0,0.0,0.0,14,8,2651,1387,1094858.75,586048.75,2.367428,3.1912,badrabbit,0,0,1,0,0,0,0,0,0,1
0.0,49339.0,445.0,0.0,0.0,1,1,60,60,0.0,0.0,199.198,1092.382483608376,petya,0,0,1,0,1,0,0,0,0,0
0.201012,49884.0,445.0,0.0,0.0,18,10,4701,2023,165761.25,72473.28125,22.334666,0.704286,petya,0,0,1,0,1,0,0,0,0,0
