Start Time, Stop Time, Src IP, Src Country, Src Port, Dst IP, Dst Country, Dst Port, Packets, Data bytes, Bytes, Arkime Node, URI, Sender, Receiver, Subject, Filenames, Host, Alt Name, Channel
1691735606417,1691735812005,10.10.128.62,,61346,10.10.4.40,,8888,224,0,197580,hanlab,,,,,,,,
1691735596011,1691735812006,10.10.132.135,,56608,255.255.255.255,,3956,109,1962,6540,hanlab,,,,,,,,
1691735644578,1691735812022,10.15.10.104,,51620,10.10.6.55,,445,2,0,231,hanlab,,,,,,,,
1691735812028,1691735812030,10.10.236.112,,63497,10.13.10.22,,7680,8,75,561,hanlab,,,,,,,,
1691735811820,1691735812034,10.10.128.73,,55872,211.115.106.209,KR,80,8,742,1567,hanlab,"gms.ahnlab.com/jk?c=62&p=PFp2zUhcRLOw_o8e0cz6EgRu1yV54jRwxO+z49XnxT0=&k=1",,,,,,,
1691735596405,1691735812044,106.245.74.151,KR,8000,10.10.125.190,,56705,132,0,14256,hanlab,,,,,,,,
1691735805005,1691735812049,10.30.50.246,,56451,10.10.32.86,,7680,4,0,264,hanlab,,,,,,,,
1691735812045,1691735812050,10.11.50.88,,53814,10.10.128.160,,7680,11,182,830,hanlab,,,,,,,,
1691735632039,1691735812064,114.108.164.45,KR,443,10.10.129.102,,57552,8,0,504,hanlab,,,,,,,,
1691735601030,1691735812065,10.10.124.210,,54019,10.10.1.45,,1521,5780,0,2183786,hanlab,,,,,,,,
1691735811792,1691735812066,10.10.128.73,,55871,35.227.252.164,US,443,15,5620,7076,hanlab,,,,,,,,
1691735812055,1691735812067,10.10.126.236,,59515,10.16.10.5,,443,24,6871,8257,hanlab,,,,,,,,
1691735644695,1691735812092,58.229.136.64,KR,14811,10.10.120.145,,59284,7,0,1240,hanlab,,,,,,,,
1691735605168,1691735812093,172.217.161.234,US,443,10.10.161.185,,63847,66,4825,7597,hanlab,,,,,,,,
1691735811996,1691735812096,10.10.128.17,,52633,224.0.0.252,,5355,4,88,256,hanlab,,,,,,"wpad",,
1691735796138,1691735812096,10.10.128.126,,59865,172.217.25.174,US,443,59,14274,16752,hanlab,,,,,,,,
1691735811599,1691735812099,10.11.50.83,,62825,10.10.1.51,,445,2,0,128,hanlab,,,,,,,,
1691735812100,1691735812101,10.10.128.185,,56582,10.10.128.169,,161,2,104,188,hanlab,,,,,,,,
1691735800966,1691735812105,10.10.128.126,,63514,142.250.206.238,US,443,37,18978,20532,hanlab,,,,,,,,
1691735604556,1691735812109,10.10.128.121,,60182,142.250.206.238,US,443,138,74326,80122,hanlab,,,,,,,,
1691735812113,1691735812114,10.11.10.23,,50938,10.10.1.220,,8083,2,0,126,hanlab,,,,,,,,
1691735812126,1691735812126,10.10.118.208,,5232,10.10.4.21,,445,1,0,66,hanlab,,,,,,,,
1691735766618,1691735812135,10.10.128.73,,55759,142.250.206.227,US,443,33,7323,9213,hanlab,,,,,,,,
1691735812142,1691735812142,10.10.118.208,,5233,10.10.4.22,,445,2,0,126,hanlab,,,,,,,,
1691735595637,1691735812145,14.56.119.29,KR,24211,10.10.140.114,,49840,53,0,4081,hanlab,,,,,,,,
1691735812162,1691735812164,10.15.20.145,,52516,10.10.162.111,,7680,8,75,561,hanlab,,,,,,,,
1691735628254,1691735812164,10.10.159.215,,50521,10.10.4.30,,8888,197,0,156168,hanlab,,,,,,,,
1691735766967,1691735812166,10.10.128.73,,55760,172.217.161.206,US,443,17,7966,8956,hanlab,,,,,,,,
1691735811774,1691735812177,10.10.128.73,,55869,142.250.206.226,US,443,15,6061,7903,hanlab,,,,,,,,
1691735811969,1691735812182,10.10.128.73,,55874,211.115.106.209,KR,80,8,742,1567,hanlab,"gms.ahnlab.com/jk?c=62&p=PFp2zUhcRLOw_o8e0cz6EgRu1yV54jRwxO+z49XnxT0=&k=1",,,,,,,
1691735812191,1691735812191,10.10.128.19,,60776,10.10.155.122,,51873,2,0,120,hanlab,,,,,,,,
1691735812191,1691735812191,10.10.128.19,,60780,10.10.155.122,,51873,2,0,120,hanlab,,,,,,,,
1691735812191,1691735812191,10.10.128.19,,60778,10.10.155.122,,51873,2,0,120,hanlab,,,,,,,,
1691735812191,1691735812191,10.10.128.19,,60777,10.10.155.122,,51873,2,0,120,hanlab,,,,,,,,
1691735812192,1691735812192,10.10.128.19,,60783,10.10.128.18,,49679,2,0,120,hanlab,,,,,,,,
1691735812192,1691735812192,10.10.128.19,,60781,10.10.128.18,,49679,2,0,120,hanlab,,,,,,,,
1691735812192,1691735812192,10.10.128.19,,60785,10.10.128.18,,49679,2,0,120,hanlab,,,,,,,,
1691735812192,1691735812192,10.10.128.19,,60784,10.10.128.18,,49679,2,0,120,hanlab,,,,,,,,
1691735797751,1691735812192,10.10.128.126,,63746,110.93.154.8,KR,443,18,4403,5447,hanlab,,,,,,,,
1691735811701,1691735812204,10.10.128.73,,55867,52.220.65.78,SG,443,25,5658,7092,hanlab,,,,,,,,
1691735812220,1691735812220,10.10.118.208,,5238,10.10.4.27,,445,2,0,126,hanlab,,,,,,,,
1691735599011,1691735812225,10.10.125.88,,56294,10.10.4.30,,8888,28,0,11324,hanlab,,,,,,,,
1691735807160,1691735812227,10.10.128.126,,63794,23.90.68.235,US,443,29,9467,11135,hanlab,,,,,,,,
1691735811210,1691735812230,10.16.10.70,,0,10.10.40.50,,0,2,80,148,hanlab,,,,,,,,
1691735767001,1691735812234,10.10.128.73,,55761,142.250.206.226,US,443,18,8500,10518,hanlab,,,,,,,,
1691735812235,1691735812235,10.10.118.208,,5239,10.10.4.28,,445,2,0,126,hanlab,,,,,,,,
1691735600329,1691735812250,10.10.181.215,,137,10.10.255.255,,137,36,1800,3312,hanlab,,,,,,,,
1691735812256,1691735812256,10.15.20.153,,55180,10.10.1.78,,1433,1,0,60,hanlab,,,,,,,,
1691735812257,1691735812259,10.10.128.73,,65529,168.126.63.1,KR,53,2,144,228,hanlab,,,,,,"translate.googleapis.com",,
1691735812256,1691735812259,10.10.128.73,,62456,168.126.63.1,KR,53,2,100,184,hanlab,,,,,,"translate.googleapis.com",,
1691735812257,1691735812263,10.10.122.239,,54166,10.10.1.77,,13000,13,2477,3239,hanlab,,,,,,,,
1691735812266,1691735812266,10.10.118.208,,5241,10.10.4.30,,445,2,0,126,hanlab,,,,,,,,
1691735812269,1691735812269,10.11.50.83,,62854,10.10.1.78,,445,1,0,66,hanlab,,,,,,,,
1691735812282,1691735812282,10.10.118.208,,5242,10.10.4.31,,445,2,0,126,hanlab,,,,,,,,
1691735767106,1691735812290,10.10.128.73,,55762,172.217.161.206,US,443,17,7967,8957,hanlab,,,,,,,,
1691735596312,1691735812308,10.10.132.160,,64894,255.255.255.255,,3956,109,1962,6540,hanlab,,,,,,,,
1691735632097,1691735812309,10.10.132.240,,62704,20.198.118.190,US,443,15,0,1935,hanlab,,,,,,,,
1691735812317,1691735812317,10.10.128.139,,54100,10.10.138.140,,161,2,100,184,hanlab,,,,,,,,
1691735776935,1691735812324,10.10.128.73,,55786,163.181.22.217,US,443,29,6400,8610,hanlab,,,,,,,,
1691735779032,1691735812333,10.10.128.73,,55833,52.167.85.21,US,443,259,231758,246200,hanlab,,,,,,,"b.clarity.ms, d.clarity.ms, e.clarity.ms, f.clarity.ms, g.clarity.ms, h.clarity.ms, i.clarity.ms, j.clarity.ms, k.clarity.ms, l.clarity.ms, m.clarity.ms, n.clarity.ms, o.clarity.ms, p.clarity.ms, q.clarity.ms, r.clarity.ms, s.clarity.ms, t.clarity.ms, u.clarity.ms, v.clarity.ms, w.clarity.ms, x.clarity.ms, y.clarity.ms, z.clarity.ms, a.clarity.ms",
1691735812341,1691735812341,10.10.160.130,,64890,255.255.255.255,,1947,1,40,82,hanlab,,,,,,,,
1691735626778,1691735812367,10.10.128.132,,13496,103.105.156.218,KR,443,39,0,6061,hanlab,,,,,,,,
1691735811957,1691735812374,10.10.169.251,,56332,224.0.0.252,,5355,2,82,166,hanlab,,,,,,"70.1.10.10.in-addr.arpa",,
1691735812397,1691735812397,10.10.128.126,,63784,157.240.215.14,US,443,1,0,60,hanlab,,,,,,,,
1691735692361,1691735812413,10.10.128.132,,13650,103.105.159.13,KR,443,33,7978,9886,hanlab,,,,,,,,
1691735774351,1691735812414,10.10.128.118,,59591,10.10.1.240,,7002,534,551551,580981,hanlab,,,,,,,,
1691735809415,1691735812418,10.10.52.53,,57258,239.255.255.250,,1900,4,700,868,hanlab,,,,,,,,
1691735812418,1691735812421,10.12.10.166,,51882,10.10.128.160,,7680,11,176,824,hanlab,,,,,,,,
1691735812423,1691735812423,10.10.118.208,,5251,10.10.4.40,,445,2,0,126,hanlab,,,,,,,,
1691735626794,1691735812429,10.10.128.132,,13498,103.105.159.13,KR,443,45,0,11457,hanlab,,,,,,,,
1691735812438,1691735812438,10.10.118.208,,5252,10.10.4.41,,445,2,0,126,hanlab,,,,,,,,
1691735809459,1691735812468,10.10.118.208,,5211,139.177.196.162,US,443,2,0,132,hanlab,,,,,,,,
1691735812260,1691735812492,10.10.128.73,,55875,142.250.76.138,US,443,29,9855,11499,hanlab,,,,,,,,
1691735798195,1691735812494,10.10.128.126,,63769,23.106.127.52,SG,443,18,4989,6033,hanlab,,,,,,,,
1691735812100,1691735812520,10.10.1.99,,54724,224.0.0.252,,5355,2,66,150,hanlab,,,,,,"win-qcq1porum75",,
1691735812100,1691735812520,10.10.1.99,,61382,224.0.0.252,,5355,2,66,150,hanlab,,,,,,"win-qcq1porum75",,
1691735632238,1691735812543,10.10.160.142,,63845,108.177.97.188,US,5228,10,0,630,hanlab,,,,,,,,
